Id,MeasurementTime,SensorName,SensorDescription,SensorDetails,Type,Units,CurrentValue,Lat,Long
13431733,2020-06-10T07:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.500333786554,-31.64478,152.82822
13431734,2020-06-10T07:30:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.337,-31.64478,152.82822
13431735,2020-06-10T07:30:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.493803136259,-31.64478,152.82822
13431736,2020-06-10T07:20:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.485162583561,-31.64478,152.82822
13431737,2020-06-10T07:20:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.3509,-31.64478,152.82822
13431738,2020-06-10T07:40:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.481305952,-31.64478,152.82822
13431739,2020-06-10T07:10:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.3626,-31.64478,152.82822
13431740,2020-06-10T07:10:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.467680535079,-31.64478,152.82822
13431741,2020-06-10T07:30:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.490483396,-31.64478,152.82822
13431742,2020-06-10T07:00:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.437639543722,-31.64478,152.82822
13431743,2020-06-10T07:00:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.3618,-31.64478,152.82822
13431744,2020-06-10T07:20:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.497621408,-31.64478,152.82822
13431745,2020-06-10T07:10:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.509858,-31.64478,152.82822
